++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
 Tue Jun 28 11:57:23 2016
 a 1.1 b -90 a 0.8 b -90 a 0.2 c 0.6 180 a 0.6 b -90 a 0.8 b -90 a 1.2 
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      length        time  angle(tem)  angle(ave)  angle(des)        C_PI   field dir temperature
        1.87       57.07     -171.87     -172.12      180.00        0.00      141.27       63.77
        1.87       57.12     -171.87     -171.87      180.00        0.00      141.20       63.86
        1.87       57.17     -171.87     -171.87      180.00        0.00      141.12       63.86
        1.87       57.22     -171.87     -171.87      180.00        0.00      141.04       63.93
        1.87       57.27     -171.87     -171.87      180.00        0.00      140.97       63.93
        1.87       57.32     -172.41     -172.14      180.00        0.00      140.90       63.90
        1.87       57.37      180.00     -176.20      180.00        0.00      141.00       63.90
        1.87       57.42     -172.41     -178.10      180.00        0.00      141.28       63.81
        1.87       57.47     -172.41     -174.17      180.00        0.00      141.10       63.81
        1.87       57.52     -171.87     -172.00      180.00        0.00      140.72       63.90
        1.87       57.57     -171.87     -171.87      180.00        0.00      140.62       63.90
        1.87       57.62      180.00     -175.93      180.00        0.00      140.71       63.91
        1.87       57.67      180.00     -178.10      180.00        0.00      141.00       63.91
        1.87       57.72      180.00     -178.10      180.00        0.00      141.15       63.84
        1.87       57.77      180.00     -178.10      180.00        0.00      141.14       63.84
        1.87       57.82      180.00     -178.10      180.00        0.00      141.13       63.94
        1.87       57.87      180.00     -178.22      180.00        0.00      141.11       63.94
        1.87       57.92     -172.87     -176.44      180.00        0.00      141.10       63.95
        1.87       57.97     -171.87     -174.40      180.00        0.00      140.79       63.95
        1.87       58.02     -171.87     -172.37      180.00        0.00      140.42       63.94
        1.87       58.07     -173.66     -172.57      180.00        0.00      140.32       63.94
        1.87       58.12     -172.87     -173.02      180.00        0.00      140.29       64.04
        1.87       58.17     -172.88     -173.07      180.00        0.00      140.24       64.04
        1.87       58.22     -173.66     -172.82      180.00        0.00      140.17       63.95
        1.87       58.27     -173.66     -173.21      180.00        0.00      140.13       63.95
        1.87       58.32     -171.87     -173.21      180.00        0.00      140.09       64.00
        1.87       58.37     -173.66     -173.02      180.00        0.00      139.99       64.00
        1.87       58.42     -173.66     -173.46      180.00        0.00      139.91       63.92
        1.87       58.47     -173.66     -173.66      180.00        0.00      139.88       63.92
        1.87       58.52     -172.88     -173.27      180.00        0.00      139.82       63.60
        1.87       58.57     -173.66     -173.27      180.00        0.00      139.74       63.60
        1.87       58.62     -174.29     -173.82      180.00        0.00      139.67       63.75
        1.87       58.67     -173.66     -173.97      180.00        0.00      139.64       63.75
        1.87       58.72     -173.66     -173.62      180.00        0.00      139.58       63.87
        1.87       58.77      180.00     -176.63      180.00        0.00      139.75       63.87
        1.87       58.82      180.00      180.00      180.00        0.00      140.00       63.87
        1.87       58.87      180.00      180.00      180.00        0.00      139.99       63.87
        1.87       58.92      180.00      180.00      180.00        0.00      139.99       63.97
        1.87       58.97      180.00      180.00      180.00        0.00      139.99       63.97
        1.87       59.02      180.00      180.00      180.00        0.00      139.99       63.98
        1.87       59.07      180.00      180.00      180.00        0.00      139.99       63.98
        1.87       59.12      180.00      180.00      180.00        0.00      139.99       63.84
        1.87       59.17      180.00      180.00      180.00        0.00      139.99       63.84
        1.87       59.22      180.00      180.00      180.00        0.00      139.99       63.96
        1.87       59.27      180.00      180.00      180.00        0.00      139.99       63.96
        1.87       59.32      180.00      180.00      180.00        0.00      139.99       63.81
        1.87       59.37      180.00      180.00      180.00        0.00      139.99       63.81
        1.87       59.42      180.00      180.00      180.00        0.00      139.99       63.77
        1.87       59.47      180.00      180.00      180.00        0.00      139.99       63.77
        1.87       59.52      180.00      180.00      180.00        0.00      139.99       63.65
        1.87       59.57      180.00      180.00      180.00        0.00      139.99       63.65
        1.87       59.62     -174.81     -177.12      180.00        0.00      139.75       63.73
        1.87       59.67     -174.29     -174.26      180.00        0.00      139.48       63.73
        1.87       59.72     -174.81     -174.42      180.00        0.00      139.44       63.96
        1.87       59.77     -174.81     -174.55      180.00        0.00      139.40       63.96
        1.87       59.82     -174.81     -174.68      180.00        0.00      139.35       64.07
        1.87       59.87     -174.81     -174.81      180.00        0.00      139.31       64.07
        1.87       59.92     -174.81     -174.68      180.00        0.00      139.25       64.07
        1.87       59.97      180.00     -175.85      180.00        0.00      139.33       64.02
        1.87       60.02      180.00     -178.57      180.00        0.00      139.51       64.02
        1.87       60.07      180.00      180.00      180.00        0.00      139.61       63.97
        1.87       60.12      180.00      180.00      180.00        0.00      139.61       63.97
        1.87       60.17      180.00      180.00      180.00        0.00      139.61       63.92
        1.87       60.22      180.00      180.00      180.00        0.00      139.61       63.92
        1.87       60.27      180.00     -178.90      180.00        0.00      139.52       63.94
        1.87       60.32     -175.60     -176.70      180.00        0.00      139.32       63.94
        1.87       60.37     -175.60     -175.60      180.00        0.00      139.20       63.88
        1.87       60.42      180.00     -176.61      180.00        0.00      139.24       63.88
        1.87       60.47      180.00     -178.81      180.00        0.00      139.40       63.89
        1.87       60.52      180.00      180.00      180.00        0.00      139.49       63.89
        1.87       60.57      180.00      180.00      180.00        0.00      139.49       63.93
        1.87       60.62      180.00      180.00      180.00        0.00      139.49       63.93
        1.87       60.67      180.00      180.00      180.00        0.00      139.49       63.98
        1.87       60.72      180.00      180.00      180.00        0.00      139.49       63.98
        1.87       60.77      180.00      180.00      180.00        0.00      139.49       64.09
        1.87       60.82      180.00      180.00      180.00        0.00      139.49       64.09
        1.87       60.87      180.00      180.00      180.00        0.00      139.49       63.72
        1.87       60.92      180.00      180.00      180.00        0.00      139.49       63.72
        1.87       60.97      180.00      180.00      180.00        0.00      139.49       63.87
        1.87       61.02      180.00      180.00      180.00        0.00      139.49       63.87
        1.87       61.07      180.00      180.00      180.00        0.00      139.49       63.86
        1.87       61.12      180.00      180.00      180.00        0.00      139.49       63.86
        1.87       61.17      180.00      180.00      180.00        0.00      139.49       63.84
        1.87       61.22      180.00      180.00      180.00        0.00      139.49       63.84
        1.87       61.27      180.00      180.00      180.00        0.00      139.49       63.96
        1.87       61.32      180.00      180.00      180.00        0.00      139.49       63.96
        1.87       61.37      180.00      180.00      180.00        0.00      139.49       63.78
        1.87       61.42      180.00      180.00      180.00        0.00      139.49       63.78
        1.87       61.47      180.00      180.00      180.00        0.00      139.49       63.82
        1.87       61.52      180.00      180.00      180.00        0.00      139.49       63.82
        1.87       61.57      180.00      180.00      180.00        0.00      139.49       63.80
        1.87       61.62      180.00      180.00      180.00        0.00      139.49       63.80
        1.87       61.67      180.00      180.00      180.00        0.00      139.49       63.94
        1.87       61.72      180.00      180.00      180.00        0.00      139.49       63.94
        1.87       61.77      180.00      180.00      180.00        0.00      139.49       63.98
        1.87       61.82      180.00      180.00      180.00        0.00      139.49       63.98
        1.87       61.87      180.00      180.00      180.00        0.00      139.49       64.03
        1.87       61.92      180.00      180.00      180.00        0.00      139.49       64.03
        1.87       61.97      180.00      180.00      180.00        0.00      139.49       63.93
        1.87       62.02      180.00      180.00      180.00        0.00      139.49       63.93
        1.87       62.07      180.00      180.00      180.00        0.00      139.49       64.11
        1.87       62.13      180.00      180.00      180.00        0.00      139.49       64.11
        1.87       62.18      180.00      180.00      180.00        0.00      139.49       63.82
        1.87       62.23      180.00      180.00      180.00        0.00      139.49       63.82
        1.87       62.28      180.00      180.00      180.00        0.00      139.49       63.89
        1.87       62.33      180.00      180.00      180.00        0.00      139.49       63.89
        1.87       62.38      180.00      180.00      180.00        0.00      139.49       63.78
        1.87       62.43      180.00      180.00      180.00        0.00      139.49       63.78
        1.87       62.48      180.00      180.00      180.00        0.00      139.49       63.76
        1.87       62.53      180.00      180.00      180.00        0.00      139.49       63.76
        1.87       62.58      180.00      180.00      180.00        0.00      139.49       63.77
        1.87       62.63      180.00      180.00      180.00        0.00      139.49       63.77
        1.87       62.68      180.00      180.00      180.00        0.00      139.49       63.79
        1.87       62.73      180.00      180.00      180.00        0.00      139.49       63.79
        1.87       62.78      180.00      180.00      180.00        0.00      139.49       63.91
        1.87       62.83      180.00      180.00      180.00        0.00      139.49       63.91
        1.87       62.93      180.00      180.00      180.00        0.00      139.49       63.77
        1.87       62.98      180.00      180.00      180.00        0.00      139.49       63.97
        1.87       63.03      180.00      180.00      180.00        0.00      139.49       63.97
        1.87       63.08      180.00      180.00      180.00        0.00      139.49       63.91
        1.87       63.13      180.00      180.00      180.00        0.00      139.49       63.91
        1.87       63.18      180.00      180.00      180.00        0.00      139.49       63.65
        1.87       63.23      180.00      180.00      180.00        0.00      139.49       63.65
        1.87       63.28      180.00      180.00      180.00        0.00      139.49       63.35
        1.87       63.33      180.00      180.00      180.00        0.00      139.49       63.35
        1.87       63.38      180.00      180.00      180.00        0.00      139.49       63.17
        1.87       63.43      180.00      180.00      180.00        0.00      139.49       63.17
        1.87       63.48      180.00      180.00      180.00        0.00      139.49       62.91
        1.87       63.53      180.00      180.00      180.00        0.00      139.49       62.91
        1.87       63.58      180.00      180.00      180.00        0.00      139.49       62.42
        1.87       63.63      180.00      180.00      180.00        0.00      139.49       62.42
        1.87       63.68      180.00      180.00      180.00        0.00      139.49       61.87
        1.87       63.73      180.00      180.00      180.00        0.00      139.49       61.87
        1.87       63.78      180.00      180.00      180.00        0.00      139.49       61.55
        1.87       63.83      180.00      180.00      180.00        0.00      139.49       61.55
        1.87       63.88      180.00      180.00      180.00        0.00      139.49       61.28
        1.87       63.93      180.00      180.00      180.00        0.00      139.49       61.28
        1.87       63.98      180.00      180.00      180.00        0.00      139.49       60.82
        1.87       64.03      180.00      180.00      180.00        0.00      139.49       60.82
        1.87       64.08      180.00      180.00      180.00        0.00      139.49       60.36
        1.87       64.13      180.00      180.00      180.00        0.00      139.49       60.36
        1.87       64.18      180.00      180.00      180.00        0.00      139.49       59.92
        1.87       64.23      180.00      180.00      180.00        0.00      139.49       59.92
        1.87       64.28      180.00      180.00      180.00        0.00      139.49       59.54
        1.87       64.33      180.00      180.00      180.00        0.00      139.49       59.54
        1.87       64.38      180.00      180.00      180.00        0.00      139.49       59.17
        1.87       64.43      180.00      180.00      180.00        0.00      139.49       59.17
        1.87       64.48      180.00      180.00      180.00        0.00      139.49       58.75
        1.87       64.53      180.00      180.00      180.00        0.00      139.49       58.75
        1.87       64.58      180.00      180.00      180.00        0.00      139.49       58.29
        1.87       64.63      180.00      180.00      180.00        0.00      139.49       58.29
        1.87       64.68      180.00      180.00      180.00        0.00      139.49       57.91
        1.87       64.73      180.00      180.00      180.00        0.00      139.49       57.91
        1.87       64.78      180.00      180.00      180.00        0.00      139.49       57.48
        1.87       64.83      180.00      180.00      180.00        0.00      139.49       57.48
        1.87       64.88      180.00      180.00      180.00        0.00      139.49       57.08
        1.87       64.94      180.00      180.00      180.00        0.00      139.49       57.08
        1.87       64.99      180.00      180.00      180.00        0.00      139.49       56.72
        1.87       65.04      180.00      180.00      180.00        0.00      139.49       56.72
        1.87       65.09      180.00      180.00      180.00        0.00      139.49       56.32
        1.87       65.14      180.00      180.00      180.00        0.00      139.49       56.32
        1.87       65.19      180.00      180.00      180.00        0.00      139.49       55.90
        1.87       65.24      180.00      180.00      180.00        0.00      139.49       55.90
        1.87       65.29      180.00      180.00      180.00        0.00      139.49       55.51
        1.87       65.34      180.00      180.00      180.00        0.00      139.49       55.51
        1.87       65.39      180.00      180.00      180.00        0.00      139.49       55.19
        1.87       65.44      180.00      180.00      180.00        0.00      139.49       55.19
        1.87       65.49      180.00      180.00      180.00        0.00      139.49       54.98
        1.87       65.54      180.00      180.00      180.00        0.00      139.49       54.98
        1.87       65.59      180.00      180.00      180.00        0.00      139.49       54.53
        1.87       65.64      180.00      180.00      180.00        0.00      139.49       54.53
        1.87       65.69      180.00      180.00      180.00        0.00      139.49       54.28
        1.87       65.74      180.00      180.00      180.00        0.00      139.49       54.28
        1.87       65.79      180.00      180.00      180.00        0.00      139.49       54.01
        1.87       65.84      180.00      180.00      180.00        0.00      139.49       54.01
        1.87       65.89      180.00      180.00      180.00        0.00      139.49       53.56
        1.87       65.94      180.00      180.00      180.00        0.00      139.49       53.56
        1.87       65.99      180.00      180.00      180.00        0.00      139.49       53.29
        1.87       66.04      180.00      180.00      180.00        0.00      139.49       53.29
        1.87       66.09      180.00      180.00      180.00        0.00      139.49       52.86
        1.87       66.14      180.00      180.00      180.00        0.00      139.49       52.86
        1.87       66.19      180.00      180.00      180.00        0.00      139.49       52.63
        1.87       66.24      180.00      180.00      180.00        0.00      139.49       52.63
        1.87       66.29      180.00      180.00      180.00        0.00      139.49       52.28
        1.87       66.34      180.00      180.00      180.00        0.00      139.49       52.28
        1.87       66.39      180.00      180.00      180.00        0.00      139.49       51.97
        1.87       66.44      180.00      180.00      180.00        0.00      139.49       51.97
        1.87       66.49      180.00      180.00      180.00        0.00      139.49       51.73
        1.87       66.54      180.00      180.00      180.00        0.00      139.49       51.73
        1.87       66.59      180.00      180.00      180.00        0.00      139.49       51.39
        1.87       66.64      180.00      180.00      180.00        0.00      139.49       51.39
        1.87       66.69      180.00      180.00      180.00        0.00      139.49       51.20
        1.87       66.74      180.00      180.00      180.00        0.00      139.49       51.20
        1.87       66.79      180.00      180.00      180.00        0.00      139.49       50.78
        1.87       66.84      180.00      180.00      180.00        0.00      139.49       50.78
        1.87       66.89      180.00      180.00      180.00        0.00      139.49       50.50
        1.87       66.94      180.00      180.00      180.00        0.00      139.49       50.50
        1.87       66.99      180.00      180.00      180.00        0.00      139.49       50.43
        1.87       67.04      180.00      180.00      180.00        0.00      139.49       50.43
        1.87       67.09      180.00      180.00      180.00        0.00      139.49       50.06
        1.87       67.14      180.00      180.00      180.00        0.00      139.49       50.06
        1.87       67.19      180.00      180.00      180.00        0.00      139.49       49.89
        1.87       67.24      180.00      180.00      180.00        0.00      139.49       49.89
        1.87       67.29      180.00      180.00      180.00        0.00      139.49       49.70
        1.87       67.34      180.00      180.00      180.00        0.00      139.49       49.70
        1.87       67.39      180.00      180.00      180.00        0.00      139.49       49.41
        1.87       67.44      180.00      180.00      180.00        0.00      139.49       49.41
        1.87       67.49      180.00      180.00      180.00        0.00      139.49       49.29
        1.87       67.54      180.00      180.00      180.00        0.00      139.49       49.29
        1.87       67.59      180.00      180.00      180.00        0.00      139.49       48.87
        1.87       67.64      180.00      180.00      180.00        0.00      139.49       48.87
        1.87       67.69      180.00      180.00      180.00        0.00      139.49       48.70
        1.87       67.74      180.00      180.00      180.00        0.00      139.49       48.70
        1.87       67.79      180.00      180.00      180.00        0.00      139.49       48.56
        1.87       67.84      180.00      180.00      180.00        0.00      139.49       48.56
        1.87       67.89      180.00      180.00      180.00        0.00      139.49       48.27
        1.87       67.94      180.00      180.00      180.00        0.00      139.49       48.27
        1.87       67.99      180.00      180.00      180.00        0.00      139.49       47.97
        1.87       68.04      180.00      180.00      180.00        0.00      139.49       47.97
        1.87       68.09      180.00      180.00      180.00        0.00      139.49       47.85
        1.87       68.14      180.00      180.00      180.00        0.00      139.49       47.85
        1.87       68.19      180.00      180.00      180.00        0.00      139.49       47.68
        1.87       68.24      180.00      180.00      180.00        0.00      139.49       47.68
        1.87       68.29      180.00      180.00      180.00        0.00      139.49       47.30
        1.87       68.34      180.00      180.00      180.00        0.00      139.49       47.30
        1.87       68.39      180.00      180.00      180.00        0.00      139.49       47.20
        1.87       68.44      180.00      180.00      180.00        0.00      139.49       47.20
        1.87       68.49      180.00      180.00      180.00        0.00      139.49       46.95
        1.87       68.54      180.00      180.00      180.00        0.00      139.49       46.95
        1.87       68.59      180.00      180.00      180.00        0.00      139.49       46.66
        1.87       68.64      180.00      180.00      180.00        0.00      139.49       46.66
        1.87       68.69      180.00      180.00      180.00        0.00      139.49       46.56
        1.87       68.74      180.00      180.00      180.00        0.00      139.49       46.56
        1.87       68.79      180.00      180.00      180.00        0.00      139.49       46.31
        1.87       68.84      180.00      180.00      180.00        0.00      139.49       46.31
        1.87       68.89      180.00      180.00      180.00        0.00      139.49       46.19
        1.87       68.94      180.00      180.00      180.00        0.00      139.49       46.19
        1.87       69.00      180.00      180.00      180.00        0.00      139.49       45.59
        1.87       69.05      180.00      180.00      180.00        0.00      139.49       45.59
        1.87       69.10      180.00      180.00      180.00        0.00      139.49       45.56
        1.87       69.15      180.00      180.00      180.00        0.00      139.49       45.56
        1.87       69.20      180.00      180.00      180.00        0.00      139.49       45.50
        1.87       69.25      180.00      180.00      180.00        0.00      139.49       45.50
        1.89       69.35      180.00      180.00      180.00        0.00      139.49       45.20
        1.91       69.40      180.00      180.00      180.00        0.00      139.49       44.99
        1.93       69.45      180.00      180.00      180.00        0.00      139.49       44.99
        1.95       69.50      180.00      180.00      180.00        0.00      139.49       44.68
        1.97       69.55      180.00      180.00      180.00        0.00      139.49       44.68
        1.99       69.60      180.00      180.00      180.00        0.00      139.49       44.65
        2.01       69.65      180.00      180.00      180.00        0.00      139.49       44.65
        2.04       69.70      180.00      180.00      180.00        0.00      139.49       44.51
        2.05       69.75      180.00      180.00      180.00        0.00      139.49       44.51
        2.05       69.85      180.00      180.00      180.00        0.00      139.49       44.34
        2.05       69.90      180.00      180.00      180.00        0.00      139.49       44.85
        2.05       69.95      180.00      180.00      180.00        0.00      139.49       44.85
        2.05       70.00      180.00      180.00      180.00        0.00      139.49       45.64
        2.05       70.05      180.00      180.00      180.00        0.00      139.49       45.64
        2.05       70.10      180.00      180.00      180.00        0.00      139.49       47.17
        2.05       70.15      180.00      180.00      180.00        0.00      139.49       47.17
        2.05       70.20      180.00      180.00      180.00        0.00      139.49       48.95
        2.05       70.25      180.00      180.00      180.00        0.00      139.49       48.95
        2.05       70.30      176.19      179.05      180.00        0.00      139.49       51.13
        2.05       70.35      180.00      179.05      180.00        0.00      139.49       51.13
        2.05       70.40      180.00      180.00      180.00        0.00      139.49       53.42
        2.05       70.45      180.00      180.00      180.00        0.00      139.49       53.42
        2.05       70.50      180.00      180.00      180.00        0.00      139.49       56.28
        2.05       70.55      180.00      180.00      180.00        0.00      139.49       56.28
        2.06       70.70      180.00      180.00     -178.94        0.11     -178.83       60.92
        2.06       70.75      180.00      180.00     -178.94        0.21     -178.73       60.92
        2.07       70.80      180.00      180.00     -178.53        0.33     -178.20       62.82
        2.07       70.85      180.00      180.00     -178.53        0.46     -178.06       62.82
        2.07       70.90      180.00      180.00     -178.11        0.64     -177.48       64.23
        2.08       70.95      180.00      180.00     -177.70        0.83     -176.87       64.23
        2.08       71.00      180.00      180.00     -177.70        1.04     -176.66       65.37
        2.08       71.05      180.00     -178.70     -177.29        1.23     -176.05       65.37
        2.08       71.10      180.00     -178.70     -177.29        1.41     -175.87       65.99
        2.09       71.15     -174.29     -178.57     -176.87        1.63     -175.25       65.99
        2.09       71.20      180.00     -178.57     -176.46        1.71     -174.75       65.99
        2.09       71.25     -171.87     -176.19     -176.46        1.72     -174.74       66.16
        2.09       71.30     -171.87     -174.15     -176.05        1.70     -174.34       66.16
        2.09       71.35     -172.88     -174.60     -176.05        1.62     -174.42       66.52
        2.10       71.40     -171.87     -172.82     -175.63        1.49     -174.15       66.52
        2.10       71.45      180.00     -176.19     -175.22        1.37     -173.85       66.43
        2.10       71.50     -171.87     -175.93     -175.22        1.32     -173.90       66.43
        2.11       71.55     -171.87     -171.87     -174.81        1.16     -173.65       66.40
        2.11       71.60     -171.87     -171.87     -174.39        0.88     -173.52       66.40
        2.11       71.65     -172.87     -172.12     -174.39        0.63     -173.77       65.98
        2.12       71.70     -170.54     -172.04     -173.98        0.41     -173.57       65.98
        2.12       71.75     -171.87     -171.46     -173.98        0.18     -173.80       65.95
        2.12       71.80     -171.87     -171.79     -173.57       -0.02     -173.59       65.95
        2.12       71.85     -172.87     -172.62     -173.15       -0.14     -173.30       65.48
        2.12       71.90     -170.54     -172.04     -173.15       -0.23     -173.38       65.48
        2.13       71.95     -170.54     -170.87     -172.74       -0.37     -173.11       65.09
        2.13       72.00     -171.87     -171.20     -172.74       -0.53     -173.27       65.09
        2.13       72.05     -171.87     -171.87     -172.33       -0.64     -172.97       64.67
        2.14       72.10     -171.87     -171.72     -171.91       -0.72     -172.63       64.67
        2.14       72.15     -170.54     -171.05     -171.91       -0.78     -172.69       64.13
        2.14       72.20     -170.54     -170.87     -171.50       -0.82     -172.33       64.13
        2.14       72.25     -170.54     -170.87     -171.50       -0.85     -172.36       63.81
        2.15       72.30     -171.87     -170.87     -171.09       -0.86     -171.95       63.81
        2.15       72.36     -169.70     -170.66     -170.68       -0.84     -171.51       63.87
        2.15       72.41     -168.69     -170.20     -170.68       -0.84     -171.51       63.87
        2.15       72.46     -170.54     -170.54     -170.26       -0.87     -171.13       63.55
        2.16       72.51     -169.70     -169.87     -169.85       -0.90     -170.75       63.55
        2.16       72.56     -168.69     -169.19     -169.85       -0.94     -170.79       63.44
        2.16       72.61     -170.54     -169.40     -169.44       -1.00     -170.44       63.44
        2.16       72.66     -168.69     -169.40     -169.44       -1.03     -170.46       63.25
        2.17       72.71     -168.69     -168.94     -169.02       -1.03     -170.05       63.25
        2.17       72.76     -169.70     -168.94     -168.61       -1.05     -169.66       63.14
        2.17       72.81     -168.69     -168.94     -168.61       -1.03     -169.64       63.14
        2.18       72.86     -168.69     -168.94     -168.20       -0.98     -169.18       63.31
        2.18       72.91     -168.69     -168.94     -168.20       -0.92     -169.12       63.31
        2.18       72.96     -167.91     -168.19     -167.78       -0.88     -168.66       62.92
        2.18       73.01     -167.91     -167.69     -167.37       -0.87     -168.23       62.92
        2.18       73.06     -167.47     -167.88     -167.37       -0.84     -168.21       63.66
        2.19       73.11     -167.47     -167.78     -166.96       -0.80     -167.75       63.66
        2.19       73.16     -167.47     -167.47     -166.96       -0.73     -167.69       63.52
        2.19       73.21     -165.96     -166.98     -166.54       -0.65     -167.19       63.52
        2.20       73.26     -165.96     -166.60     -166.13       -0.59     -166.72       63.78
        2.20       73.32     -167.01     -167.28     -166.13       -0.53     -166.66       63.78
        2.20       73.37     -165.96     -167.28     -165.72       -0.44     -166.16       63.69
        2.20       73.42     -167.47     -166.98     -165.72       -0.35     -166.07       63.69
        2.21       73.47     -165.96     -166.98     -165.30       -0.23     -165.53       63.90
        2.21       73.52     -165.96     -166.34     -164.89       -0.11     -165.00       63.90
        2.21       73.57     -165.96     -165.96     -164.89       -0.01     -164.90       63.80
        2.21       73.62     -165.96     -165.96     -164.48        0.12     -164.36       63.80
        2.22       73.67     -165.96     -165.96     -164.06        0.27     -163.79       63.73
        2.22       73.72     -165.96     -165.96     -164.06        0.46     -163.60       63.73
        2.22       73.77     -165.96     -165.96     -163.65        0.65     -163.00       63.88
        2.22       73.82     -165.96     -165.96     -163.65        0.82     -162.83       63.88
        2.23       73.87     -164.05     -163.43     -163.24        0.92     -162.31       63.69
        2.23       73.92     -164.05     -164.05     -162.82        1.00     -161.82       63.69
        2.23       73.97     -161.57     -163.43     -162.82        1.11     -161.72       63.96
        2.24       74.02     -161.57     -162.81     -162.41        1.17     -161.24       63.96
        2.24       74.07     -164.05     -163.43     -162.41        1.18     -161.23       64.08
        2.24       74.12     -161.57     -163.43     -162.00        1.27     -160.73       64.08
        2.25       74.17     -164.05     -162.81     -161.58        1.37     -160.21       63.89
        2.25       74.22     -162.90     -162.52     -161.58        1.48     -160.10       63.89
        2.25       74.27     -161.57     -162.52     -161.17        1.60     -159.57       63.74
        2.25       74.32     -161.57     -162.19     -161.17        1.70     -159.47       63.74
        2.25       74.37     -161.57     -161.57     -160.76        1.78     -158.97       63.90
        2.26       74.42     -161.57     -161.57     -160.34        1.87     -158.48       63.90
        2.26       74.47     -161.57     -161.57     -160.34        1.98     -158.36       63.78
        2.26       74.52     -161.57     -161.57     -159.93        2.12     -157.81       63.78
        2.26       74.57     -161.57     -161.57     -159.93        2.26     -157.67       63.85
        2.27       74.62     -159.44     -160.20     -159.52        2.40     -157.12       63.85
        2.27       74.67     -160.02     -159.50     -159.10        2.50     -156.61       63.89
        2.27       74.72     -159.44     -159.28     -159.10        2.59     -156.51       63.89
        2.28       74.77     -159.44     -159.44     -158.69        2.70     -155.99       63.52
        2.28       74.82     -158.20     -159.66     -158.69        2.80     -155.89       63.52
        2.28       74.87     -158.20     -159.35     -158.28        2.90     -155.37       63.66
        2.28       74.92     -159.44     -158.82     -157.86        2.97     -154.90       63.66
        2.28       74.97     -158.20     -158.51     -157.86        3.04     -154.83       63.66
        2.29       75.02     -158.20     -157.85     -157.45        3.10     -154.35       63.66
        2.29       75.07     -158.20     -157.85     -157.04        3.17     -153.87       63.75
        2.29       75.12     -156.80     -157.85     -157.04        3.28     -153.76       63.75
        2.30       75.17     -158.20     -157.50     -156.62        3.33     -153.29       63.79
        2.30       75.22     -156.80     -157.15     -156.62        3.34     -153.28       63.79
        2.30       75.27     -156.80     -156.61     -156.21        3.36     -152.85       63.81
        2.31       75.32     -153.43     -155.77     -155.80        3.43     -152.37       63.81
        2.31       75.38     -153.43     -155.12     -155.80        3.46     -152.34       63.89
        2.31       75.43     -156.80     -155.12     -155.38        3.37     -152.01       63.89
        2.31       75.48     -153.43     -154.28     -155.38        3.25     -152.14       63.68
        2.31       75.53     -153.43     -153.43     -154.97        3.14     -151.83       63.68
        2.32       75.58     -153.43     -153.43     -154.56        3.05     -151.51       63.68
        2.32       75.63     -153.43     -153.43     -154.56        2.96     -151.60       63.68
        2.32       75.68     -156.80     -154.28     -154.14        2.90     -151.24       63.77
        2.32       75.73     -153.43     -154.28     -154.14        2.89     -151.26       63.77
        2.33       75.78     -153.43     -153.43     -153.73        2.89     -150.84       63.94
        2.33       75.83     -153.43     -153.43     -153.32        2.87     -150.45       63.94
        2.33       75.88     -153.43     -153.43     -153.32        2.88     -150.44       63.77
        2.34       75.93     -153.43     -153.43     -152.90        2.92     -149.98       63.77
        2.34       75.98     -153.43     -153.43     -152.90        2.97     -149.93       64.03
        2.34       76.03     -153.43     -153.43     -152.49        3.06     -149.43       64.03
        2.34       76.08     -153.43     -153.43     -152.08        3.18     -148.89       63.80
        2.34       76.13     -153.43     -153.43     -152.08        3.35     -148.73       63.80
        2.35       76.18     -153.43     -153.43     -151.67        3.53     -148.14       63.77
        2.35       76.23     -153.43     -153.43     -151.25        3.70     -147.55       63.77
        2.35       76.28     -153.43     -153.43     -151.25        3.92     -147.33       63.77
        2.36       76.33     -153.43     -153.43     -150.84        4.15     -146.68       63.38
        2.36       76.38     -151.39     -152.92     -150.84        4.40     -146.44       63.38
        2.36       76.43     -151.39     -152.41     -150.43        4.63     -145.79       63.66
        2.37       76.48     -151.39     -152.41     -150.01        4.86     -145.15       63.66
        2.37       76.53     -150.26     -151.62     -150.01        5.04     -144.98       63.76
        2.37       76.58     -150.26     -150.43     -149.60        5.13     -144.47       63.76
        2.37       76.63     -150.26     -150.26     -149.60        5.20     -144.39       63.59
        2.38       76.68     -150.26     -150.60     -149.19        5.32     -143.87       63.59
        2.38       76.73     -149.04     -149.82     -148.77        5.42     -143.35       63.59
        2.38       76.78     -149.04     -149.34     -148.77        5.50     -143.27       63.59
        2.38       76.83     -149.04     -149.34     -148.36        5.57     -142.79       63.74
        2.38       76.88     -149.04     -149.04     -148.36        5.65     -142.71       63.74
        2.39       76.93     -149.04     -148.78     -147.95        5.73     -142.22       63.81
        2.39       76.98     -149.04     -148.78     -147.53        5.81     -141.72       63.81
        2.39       77.03     -146.31     -147.67     -147.53        5.92     -141.61       63.79
        2.40       77.08     -146.31     -146.73     -147.12        5.96     -141.16       63.79
        2.40       77.13     -146.31     -146.73     -147.12        5.95     -141.17       63.83
        2.40       77.18     -146.31     -146.31     -146.71        5.96     -140.75       63.83
        2.41       77.23     -146.31     -146.31     -146.29        5.98     -140.32       63.77
