++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
 Tue Jun 28 11:57:23 2016
 a 1.1 b -90 a 0.8 b -90 a 0.2 c 0.6 180 a 0.6 b -90 a 0.8 b -90 a 1.2 
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      length        time  angle(tem)  angle(ave)  angle(des)        C_PI   field dir temperature
        1.08        4.61        0.00       -5.00      -90.00        0.00      -11.14       63.74
        1.08        4.66       -7.13       -3.81      -90.00        0.00      -11.99       63.74
        1.08        4.71       -8.13       -3.81      -90.00        0.00      -12.89       65.19
        1.08        4.76        0.00       -2.03      -90.00        0.00      -13.56       65.19
        1.08        4.81      -11.31       -5.19      -90.00        0.00      -14.48       65.89
        1.08        4.86       -9.46       -9.92      -90.00        0.00      -15.22       65.89
        1.08        4.91      -11.31       -9.92      -90.00        0.00      -15.83       66.41
        1.08        4.96      -11.31      -10.85      -90.00        0.00      -16.59       66.41
        1.08        5.01      -11.31      -11.51      -90.00        0.00      -17.31       66.71
        1.08        5.06      -11.31      -11.51      -90.00        0.00      -18.10       66.71
        1.08        5.11      -11.31      -11.31      -90.00        0.00      -18.86       66.71
        1.08        5.16      -12.99      -12.41      -90.00        0.00      -19.58       66.71
        1.08        5.21      -14.04      -13.78      -90.00        0.00      -20.29       66.46
        1.08        5.26      -14.04      -14.04      -90.00        0.00      -21.03       66.46
        1.08        5.31      -15.26      -14.34      -90.00        0.00      -21.77       66.14
        1.08        5.36      -14.04      -14.34      -90.00        0.00      -22.45       66.14
        1.08        5.41      -14.04      -14.51      -90.00        0.00      -23.20       65.88
        1.08        5.46      -14.04      -14.99      -90.00        0.00      -24.00       65.88
        1.08        5.51      -18.43      -15.92      -90.00        0.00      -24.72       65.52
        1.08        5.56      -16.70      -16.77      -90.00        0.00      -25.33       65.52
        1.08        5.61      -18.43      -17.57      -90.00        0.00      -25.96       64.94
        1.08        5.66      -16.70      -18.00      -90.00        0.00      -26.63       64.94
        1.08        5.71      -18.43      -18.00      -90.00        0.00      -27.39       64.31
        1.08        5.76      -18.43      -18.43      -90.00        0.00      -28.11       64.31
        1.08        5.81      -18.43      -18.43      -90.00        0.00      -28.76       64.09
        1.08        5.86      -18.43      -18.43      -90.00        0.00      -29.47       64.09
        1.08        5.91      -19.98      -18.82      -90.00        0.00      -30.19       63.63
        1.08        5.96      -19.98      -19.21      -90.00        0.00      -30.87       63.63
        1.08        6.01      -18.44      -18.82      -90.00        0.00      -31.58       63.32
        1.08        6.06      -20.56      -19.50      -90.00        0.00      -32.23       63.32
        1.08        6.11      -18.43      -20.34      -90.00        0.00      -32.86       63.01
        1.08        6.16      -20.56      -20.34      -90.00        0.00      -33.56       63.01
        1.08        6.21      -21.80      -21.18      -90.00        0.00      -34.18       62.87
        1.08        6.26      -21.80      -21.80      -90.00        0.00      -34.82       62.87
        1.08        6.31      -26.57      -22.99      -90.00        0.00      -35.40       62.58
        1.08        6.36      -26.57      -24.72      -90.00        0.00      -35.92       62.58
        1.08        6.41      -23.20      -24.42      -90.00        0.00      -36.60       62.60
        1.08        6.46      -23.96      -23.77      -90.00        0.00      -37.31       62.60
        1.08        6.51      -23.20      -24.42      -90.00        0.00      -37.90       62.61
        1.08        6.56      -26.57      -25.72      -90.00        0.00      -38.44       62.61
        1.08        6.61      -26.57      -26.57      -90.00        0.00      -39.01       62.59
        1.08        6.66      -26.57      -26.57      -90.00        0.00      -39.65       62.59
        1.08        6.71      -26.57      -26.57      -90.00        0.00      -40.29       62.61
        1.08        6.76      -26.57      -26.57      -90.00        0.00      -40.92       62.61
        1.08        6.81      -26.57      -26.57      -90.00        0.00      -41.55       62.69
        1.08        6.86      -28.30      -27.00      -90.00        0.00      -42.15       62.69
        1.08        6.91      -26.57      -27.00      -90.00        0.00      -42.78       62.86
        1.08        6.96      -28.61      -27.08      -90.00        0.00      -43.41       62.86
        1.08        7.01      -29.74      -27.87      -90.00        0.00      -43.97       62.98
        1.08        7.06      -29.74      -28.95      -90.00        0.00      -44.51       62.98
        1.08        7.11      -30.96      -29.88      -90.00        0.00      -45.04       62.90
        1.08        7.16      -30.96      -30.18      -90.00        0.00      -45.62       62.90
        1.08        7.21      -30.96      -30.66      -90.00        0.00      -46.18       63.08
        1.08        7.26      -32.01      -31.22      -90.00        0.00      -46.72       63.08
        1.08        7.31      -30.96      -31.22      -90.00        0.00      -47.31       63.07
        1.08        7.36      -30.96      -30.96      -90.00        0.00      -47.92       63.07
        1.08        7.41      -30.96      -31.22      -90.00        0.00      -48.49       63.35
        1.08        7.46      -30.96      -31.48      -90.00        0.00      -49.04       63.35
        1.08        7.51      -33.69      -32.17      -90.00        0.00      -49.57       63.37
        1.08        7.56      -33.69      -33.27      -90.00        0.00      -50.05       63.37
        1.08        7.61      -33.69      -33.69      -90.00        0.00      -50.58       63.38
        1.08        7.67      -33.69      -33.69      -90.00        0.00      -51.15       63.38
        1.08        7.72      -33.69      -33.69      -90.00        0.00      -51.67       63.52
        1.08        7.77      -35.54      -34.15      -90.00        0.00      -52.23       63.52
        1.08        7.82      -35.54      -35.08      -90.00        0.00      -52.79       63.68
        1.08        7.87      -35.54      -35.54      -90.00        0.00      -53.24       63.68
        1.08        7.92      -35.54      -35.54      -90.00        0.00      -53.72       63.81
        1.08        7.97      -36.87      -36.20      -90.00        0.00      -54.26       63.81
        1.08        8.02      -36.87      -36.54      -90.00        0.00      -54.79       63.80
        1.08        8.07      -36.87      -36.54      -90.00        0.00      -55.30       63.80
        1.08        8.12      -36.87      -36.87      -90.00        0.00      -55.81       63.93
        1.08        8.17      -36.87      -37.12      -90.00        0.00      -56.32       63.93
        1.08        8.22      -36.87      -37.12      -90.00        0.00      -56.85       63.95
        1.08        8.27      -37.87      -37.37      -90.00        0.00      -57.36       63.95
        1.08        8.32      -39.81      -38.55      -90.00        0.00      -57.78       64.01
        1.08        8.37      -38.66      -38.95      -90.00        0.00      -58.27       64.01
        1.08        8.42      -39.81      -38.95      -90.00        0.00      -58.61       63.91
        1.08        8.47      -38.66      -40.53      -90.00        0.00      -59.09       63.91
        1.08        8.52      -45.00      -41.83      -90.00        0.00      -59.59       63.85
        1.08        8.57      -40.60      -41.02      -90.00        0.00      -60.00       63.85
        1.08        8.62      -39.81      -40.00      -90.00        0.00      -60.41       63.84
        1.08        8.67      -40.60      -40.00      -90.00        0.00      -60.97       63.84
        1.08        8.72      -41.19      -41.65      -90.00        0.00      -61.46       63.90
        1.08        8.77      -45.00      -43.20      -90.00        0.00      -61.83       63.90
        1.08        8.82      -41.19      -42.11      -90.00        0.00      -62.23       63.84
        1.08        8.87      -41.99      -41.35      -90.00        0.00      -62.77       63.84
        1.08        8.92      -45.00      -43.41      -90.00        0.00      -63.30       63.79
        1.08        8.97      -42.27      -43.36      -90.00        0.00      -63.70       63.79
        1.08        9.02      -45.00      -43.36      -90.00        0.00      -64.09       63.65
        1.08        9.07      -45.00      -45.00      -90.00        0.00      -64.48       63.65
        1.08        9.12      -42.71      -44.43      -90.00        0.00      -64.88       63.78
        1.08        9.17      -45.00      -43.80      -90.00        0.00      -65.38       63.78
        1.08        9.22      -45.00      -44.38      -90.00        0.00      -65.84       63.96
        1.08        9.27      -45.00      -44.16      -90.00        0.00      -66.31       63.96
        1.08        9.32      -45.00      -44.16      -90.00        0.00      -66.77       63.68
        1.08        9.37      -45.00      -45.00      -90.00        0.00      -67.17       63.68
        1.08        9.42      -45.00      -44.16      -90.00        0.00      -67.62       63.79
        1.08        9.47      -45.00      -44.16      -90.00        0.00      -68.07       63.79
        1.08        9.52      -45.00      -45.00      -90.00        0.00      -68.53       63.87
        1.08        9.57      -45.00      -45.00      -90.00        0.00      -68.98       63.87
        1.08        9.62      -45.00      -45.00      -90.00        0.00      -69.43       63.85
        1.08        9.67      -45.00      -45.00      -90.00        0.00      -69.88       63.85
        1.08        9.72      -45.00      -45.00      -90.00        0.00      -70.33       63.93
        1.08        9.77      -45.00      -45.95      -90.00        0.00      -70.77       63.93
        1.08        9.82      -45.00      -45.95      -90.00        0.00      -71.22       63.91
        1.08        9.87      -45.00      -45.00      -90.00        0.00      -71.66       63.91
        1.08        9.92      -45.00      -45.00      -90.00        0.00      -72.11       63.92
        1.08        9.97      -45.00      -45.00      -90.00        0.00      -72.56       63.92
        1.08       10.02      -45.00      -45.00      -90.00        0.00      -73.01       63.81
        1.08       10.07      -45.00      -45.00      -90.00        0.00      -73.46       63.81
        1.08       10.12      -45.00      -45.00      -90.00        0.00      -73.91       63.81
        1.08       10.17      -45.00      -45.75      -90.00        0.00      -74.30       63.81
        1.08       10.22      -45.00      -45.75      -90.00        0.00      -74.74       63.76
        1.08       10.27      -48.81      -47.05      -90.00        0.00      -75.25       63.76
        1.08       10.32      -49.40      -48.15      -90.00        0.00      -75.43       63.92
        1.08       10.37      -45.00      -47.20      -90.00        0.00      -75.93       63.92
        1.08       10.42      -45.00      -46.10      -90.00        0.00      -76.45       63.70
        1.08       10.47      -49.40      -46.10      -90.00        0.00      -76.89       63.70
        1.08       10.52      -45.00      -47.20      -90.00        0.00      -77.23       63.82
        1.08       10.57      -45.00      -46.10      -90.00        0.00      -77.74       63.82
        1.08       10.62      -50.19      -47.40      -90.00        0.00      -78.07       63.88
        1.08       10.67      -51.34      -50.28      -90.00        0.00      -78.25       63.88
        1.08       10.72      -50.19      -50.48      -90.00        0.00      -78.63       63.85
        1.08       10.77      -51.34      -49.18      -90.00        0.00      -79.14       63.85
        1.08       10.82      -50.19      -49.47      -90.00        0.00      -79.52       63.91
        1.08       10.87      -53.13      -51.50      -90.00        0.00      -79.74       63.91
        1.08       10.92      -51.34      -51.79      -90.00        0.00      -80.10       63.80
        1.08       10.97      -51.34      -51.34      -90.00        0.00      -80.53       63.80
        1.08       11.02      -51.34      -51.34      -90.00        0.00      -80.91       63.83
        1.08       11.07      -53.13      -51.79      -90.00        0.00      -81.26       63.83
        1.08       11.12      -51.34      -52.24      -90.00        0.00      -81.61       63.75
        1.08       11.17      -51.34      -52.24      -90.00        0.00      -81.98       63.75
        1.08       11.22      -53.13      -52.88      -90.00        0.00      -82.34       63.78
